,day_of_week,hour_of_day,normalized_energy,average_energy,t_3,t_2,t_1,true_value,predict_energy
0,0.0,3.0,0.04040404,0.07187866342905137,0.04040404,0.04040404,0.04040404,-0.03147462342905137,0.028589623499525655
1,0.0,4.0,0.04040404,0.0732868813973033,0.04040404,0.04040404,0.04040404,-0.0328828413973033,0.028589623499525655
2,0.0,5.0,0.067340067,0.07623389844053903,0.067340067,0.067340067,0.067340067,-0.008893831440539027,0.04762630266602763
3,0.0,6.0,0.313131313,0.10924919319043798,0.313131313,0.313131313,0.313131313,0.20388211980956206,0.21807108009086687
4,0.0,7.0,0.158249158,0.10851023386426557,0.158249158,0.158249158,0.158249158,0.04973892413573443,0.11154049687662011
5,0.0,8.0,0.037037037,0.10775159045297644,0.037037037,0.037037037,0.037037037,-0.07071455345297645,0.026208295818458866
6,0.0,9.0,0.707070707,0.10056258827478015,0.707070707,0.707070707,0.707070707,0.6065081187252198,0.46247475662142634
7,0.0,10.0,0.393939394,0.10701220870178677,0.393939394,0.393939394,0.393939394,0.28692718529821326,0.27181707240514114
8,0.0,11.0,0.050505051,0.09534445407327975,0.050505051,0.050505051,0.050505051,-0.04483940307327975,0.03573155327060445
9,0.0,12.0,0.205387205,0.09886264690949018,0.205387205,0.205387205,0.205387205,0.10652455809050981,0.14435477367401459
10,0.0,13.0,0.303030303,0.0956878118113541,0.303030303,0.303030303,0.303030303,0.2073424911886459,0.2112511969571777
11,0.0,14.0,0.043771044,0.08475629878520269,0.043771044,0.043771044,0.043771044,-0.040985254785202686,0.03097062741908357
12,0.0,15.0,0.043771044,0.08754318549396826,0.043771044,0.043771044,0.043771044,-0.04377214149396826,0.03097062741908357
13,0.0,16.0,0.04040404,0.1009505654933597,0.04040404,0.04040404,0.04040404,-0.060546525493359704,0.028589623499525655
14,0.0,17.0,0.303030303,0.1127156252648752,0.303030303,0.303030303,0.303030303,0.19031467773512478,0.2112511969571777
15,0.0,18.0,0.434343434,0.13608001528944288,0.434343434,0.434343434,0.434343434,0.29826341871055706,0.29809019296905703
16,0.0,19.0,0.138047138,0.1469709983164853,0.138047138,0.138047138,0.138047138,-0.008923860316485288,0.09739809107945613
17,0.0,20.0,0.185185185,0.16821429061813853,0.185185185,0.185185185,0.185185185,0.016970894381861473,0.13032602560349588
18,0.0,21.0,0.252525253,0.18580258159115395,0.252525253,0.252525253,0.252525253,0.06672267140884605,0.17685460186481333
19,0.0,22.0,0.097643098,0.16389903052722382,0.097643098,0.097643098,0.097643098,-0.06625593252722382,0.0690006049223759
20,0.0,23.0,0.094276094,0.1450999568455975,0.094276094,0.094276094,0.094276094,-0.050823862845597506,0.06662844703763647
21,1.0,0.0,0.043771044,0.11624896235064432,0.043771044,0.043771044,0.043771044,-0.07247791835064432,0.03097062741908357
22,1.0,1.0,0.033670034,0.09328126011701779,0.033670034,0.033670034,0.033670034,-0.05961122611701779,0.023826670656033246
23,1.0,2.0,0.037037037,0.07754722677651855,0.037037037,0.037037037,0.037037037,-0.04051018977651855,0.026208295818458866
24,1.0,3.0,0.033670034,0.07049209211729648,0.033670034,0.033670034,0.033670034,-0.03682205811729648,0.023826670656033246
25,1.0,4.0,0.043771044,0.07312677605580817,0.043771044,0.043771044,0.043771044,-0.029355732055808166,0.03097062741908357
26,1.0,5.0,0.111111111,0.07663435812377505,0.111111111,0.111111111,0.111111111,0.03447675287622495,0.0784811690677419
27,1.0,6.0,0.407407407,0.11210534510939946,0.407407407,0.407407407,0.407407407,0.29530206189060054,0.2806221608202808
28,1.0,7.0,0.141414141,0.10908651224706138,0.141414141,0.141414141,0.141414141,0.03232762875293861,0.09975804948287131
29,1.0,8.0,0.333333333,0.10900577601294667,0.333333333,0.333333333,0.333333333,0.22432755698705334,0.23164655809355003
30,1.0,9.0,0.026936027,0.09278182992442315,0.026936027,0.026936027,0.026936027,-0.06584580292442314,0.019062635194890674
31,1.0,10.0,0.026936027,0.09356696834860644,0.026936027,0.026936027,0.026936027,-0.06663094134860643,0.019062635194890674
32,1.0,11.0,0.03030303,0.08526342484619699,0.03030303,0.03030303,0.03030303,-0.05496039484619699,0.02144477430554713
33,1.0,12.0,0.063973064,0.09040739929641205,0.063973064,0.063973064,0.063973064,-0.02643433529641205,0.045248324987186984
34,1.0,13.0,0.023569024,0.09061965443531653,0.023569024,0.023569024,0.023569024,-0.06705063043531653,0.016680279640770877
35,1.0,14.0,0.043771044,0.08151436995980514,0.043771044,0.043771044,0.043771044,-0.03774332595980514,0.03097062741908357
36,1.0,15.0,0.037037037,0.08460490431300918,0.037037037,0.037037037,0.037037037,-0.04756786731300918,0.026208295818458866
37,1.0,16.0,0.191919192,0.09917386385319273,0.191919192,0.191919192,0.191919192,0.09274532814680726,0.1350083640816214
38,1.0,17.0,0.212121212,0.1134014931789757,0.212121212,0.212121212,0.212121212,0.0987197188210243,0.149018445707765
39,1.0,18.0,0.441077441,0.13648147720507536,0.441077441,0.441077441,0.441077441,0.30459596379492465,0.3024267181889801
40,1.0,19.0,0.124579125,0.14450208403097914,0.124579125,0.124579125,0.124579125,-0.01992295903097914,0.08794755975799842
41,1.0,20.0,0.228956229,0.15876760906406004,0.228956229,0.228956229,0.228956229,0.07018861993593997,0.1606482319725069
42,1.0,21.0,0.191919192,0.17785703490438323,0.191919192,0.191919192,0.191919192,0.014062157095616756,0.1350083640816214
43,1.0,22.0,0.124579125,0.16062995318916168,0.124579125,0.124579125,0.124579125,-0.03605082818916168,0.08794755975799842
44,1.0,23.0,0.114478114,0.1462391147912513,0.114478114,0.114478114,0.114478114,-0.031761000791251284,0.08084916120089017
45,2.0,0.0,0.043771044,0.12026213613046635,0.043771044,0.043771044,0.043771044,-0.07649109213046634,0.03097062741908357
46,2.0,1.0,0.047138047,0.09198072597816982,0.047138047,0.047138047,0.047138047,-0.04484267897816982,0.033351279190276306
47,2.0,2.0,0.037037037,0.07922319013746403,0.037037037,0.037037037,0.037037037,-0.04218615313746402,0.026208295818458866
48,2.0,3.0,0.043771044,0.0745587369057981,0.043771044,0.043771044,0.043771044,-0.0307876929057981,0.03097062741908357
49,2.0,4.0,0.04040404,0.0720632522759321,0.04040404,0.04040404,0.04040404,-0.0316592122759321,0.028589623499525655
50,2.0,5.0,0.070707071,0.07583217165591416,0.070707071,0.070707071,0.070707071,-0.005125100655914164,0.050003741316556806
51,2.0,6.0,0.38047138,0.10776886444206948,0.38047138,0.38047138,0.38047138,0.27270251555793057,0.26296623665408
52,2.0,7.0,0.272727273,0.11041841516209364,0.272727273,0.272727273,0.272727273,0.16230885783790636,0.19067020333542822
53,2.0,8.0,0.34006734,0.10852208686790957,0.34006734,0.34006734,0.34006734,0.23154525313209043,0.2361520290701434
54,2.0,9.0,0.397306397,0.09475319027145263,0.397306397,0.397306397,0.397306397,0.30255320672854735,0.27402268180320166
55,2.0,10.0,0.043771044,0.0969050118912461,0.043771044,0.043771044,0.043771044,-0.0531339678912461,0.03097062741908357
56,2.0,11.0,0.060606061,0.08997763193890827,0.060606061,0.060606061,0.060606061,-0.02937157093890827,0.042869834409405144
57,2.0,12.0,0.03030303,0.0930372727112031,0.03030303,0.03030303,0.03030303,-0.06273424271120309,0.02144477430554713
58,2.0,13.0,0.074074074,0.09084379048962779,0.074074074,0.074074074,0.074074074,-0.016769716489627787,0.052380612715621534
59,2.0,14.0,0.043771044,0.08175109548425846,0.043771044,0.043771044,0.043771044,-0.03798005148425846,0.03097062741908357
60,2.0,15.0,0.04040404,0.08442190097284409,0.04040404,0.04040404,0.04040404,-0.04401786097284409,0.028589623499525655
61,2.0,16.0,0.114478114,0.09843271937395444,0.114478114,0.114478114,0.114478114,0.016045394626045567,0.08084916120089017
62,2.0,17.0,0.121212121,0.11289601585523121,0.121212121,0.121212121,0.121212121,0.008316105144768798,0.08558238286876474
63,2.0,18.0,0.521885522,0.1374265741641496,0.521885522,0.521885522,0.521885522,0.38445894783585044,0.3534521762402652
64,2.0,19.0,0.097643098,0.14628728094497398,0.097643098,0.097643098,0.097643098,-0.04864418294497398,0.0690006049223759
65,2.0,20.0,0.185185185,0.15971162637261319,0.185185185,0.185185185,0.185185185,0.025473558627386816,0.13032602560349588
66,2.0,21.0,0.158249158,0.1724778582449139,0.158249158,0.158249158,0.158249158,-0.014228700244913906,0.11154049687662011
67,2.0,22.0,0.168350168,0.15729092769502173,0.168350168,0.168350168,0.168350168,0.011059240304978263,0.11859515804070177
68,2.0,23.0,0.127946128,0.14039866120721098,0.127946128,0.127946128,0.127946128,-0.012452533207210986,0.09031174472255343
69,3.0,0.0,0.101010101,0.11455832872367827,0.101010101,0.101010101,0.101010101,-0.013548227723678266,0.07137198209342262
70,3.0,1.0,0.077441077,0.096692017279019,0.077441077,0.077441077,0.077441077,-0.019250940279018997,0.054756890784097956
71,3.0,2.0,0.084175084,0.08344010066605387,0.084175084,0.084175084,0.084175084,0.0007349833339461292,0.059507560628778225
72,3.0,3.0,0.057239057,0.07497253832976608,0.057239057,0.057239057,0.057239057,-0.017733481329766078,0.04049085708467426
73,3.0,4.0,0.063973064,0.07238439491519448,0.063973064,0.063973064,0.063973064,-0.008411330915194484,0.045248324987186984
74,3.0,5.0,0.080808081,0.07836907353012888,0.080808081,0.080808081,0.080808081,0.002439007469871121,0.05713254946900349
75,3.0,6.0,0.269360269,0.1067324111974275,0.269360269,0.269360269,0.269360269,0.1626278578025725,0.18837268375908
76,3.0,7.0,0.239057239,0.11167130186672757,0.239057239,0.239057239,0.239057239,0.12738593713327245,0.16760496810654416
77,3.0,8.0,0.279461279,0.11438594769568419,0.279461279,0.279461279,0.279461279,0.16507533130431581,0.19525895697335405
78,3.0,9.0,0.144781145,0.09900873802174326,0.144781145,0.144781145,0.144781145,0.04577240697825674,0.1021168867652128
79,3.0,10.0,0.03030303,0.09934496368741903,0.03030303,0.03030303,0.03030303,-0.06904193368741904,0.02144477430554713
80,3.0,11.0,0.03030303,0.09202347298612028,0.03030303,0.03030303,0.03030303,-0.061720442986120276,0.02144477430554713
81,3.0,12.0,0.023569024,0.09522737894304002,0.023569024,0.023569024,0.023569024,-0.07165835494304001,0.016680279640770877
82,3.0,13.0,0.077441077,0.09058649746217622,0.077441077,0.077441077,0.077441077,-0.013145420462176219,0.054756890784097956
83,3.0,14.0,0.067340067,0.0826275153814404,0.067340067,0.067340067,0.067340067,-0.015287448381440402,0.04762630266602763
84,3.0,15.0,0.053872054,0.08774157432296781,0.053872054,0.053872054,0.053872054,-0.033869520322967805,0.03811142130675268
85,3.0,16.0,0.047138047,0.10098651579490991,0.047138047,0.047138047,0.047138047,-0.05384846879490991,0.033351279190276306
86,3.0,17.0,0.393939394,0.10934031361095563,0.393939394,0.393939394,0.393939394,0.28459908038904436,0.27181707240514114
87,3.0,18.0,0.326599327,0.13471495261238872,0.326599327,0.326599327,0.326599327,0.19188437438761127,0.22713112804623373
88,3.0,19.0,0.195286195,0.13902949845363746,0.195286195,0.195286195,0.195286195,0.056256696546362533,0.13734728724672568
89,3.0,20.0,0.232323232,0.15453888642208136,0.232323232,0.232323232,0.232323232,0.07778434557791863,0.16296895377193116
90,3.0,21.0,0.178451178,0.17128073427337648,0.178451178,0.178451178,0.178451178,0.00717044372662351,0.12563786654770515
91,3.0,22.0,0.265993266,0.15624999419586263,0.265993266,0.265993266,0.265993266,0.10974327180413737,0.18607310116409462
92,3.0,23.0,0.185185185,0.1380776025659581,0.185185185,0.185185185,0.185185185,0.047107582434041895,0.13032602560349588
93,4.0,0.0,0.060606061,0.11185418448772252,0.060606061,0.060606061,0.060606061,-0.05124812348772252,0.042869834409405144
94,4.0,1.0,0.04040404,0.09483183172336661,0.04040404,0.04040404,0.04040404,-0.054427791723366606,0.028589623499525655
95,4.0,2.0,0.04040404,0.08154776921414719,0.04040404,0.04040404,0.04040404,-0.04114372921414719,0.028589623499525655
96,4.0,3.0,0.037037037,0.07454323697630412,0.037037037,0.037037037,0.037037037,-0.03750619997630412,0.026208295818458866
97,4.0,4.0,0.04040404,0.07453927697522919,0.04040404,0.04040404,0.04040404,-0.03413523697522919,0.028589623499525655
98,4.0,5.0,0.057239057,0.07510014250077622,0.057239057,0.057239057,0.057239057,-0.017861085500776218,0.04049085708467426
99,4.0,6.0,0.390572391,0.1046759867170561,0.390572391,0.390572391,0.390572391,0.28589640428294394,0.2696086036958034
100,4.0,7.0,0.101010101,0.10901247905937053,0.101010101,0.101010101,0.101010101,-0.008002378059370527,0.07137198209342262
101,4.0,8.0,0.080808081,0.11093923012480462,0.080808081,0.080808081,0.080808081,-0.03013114912480462,0.05713254946900349
102,4.0,9.0,0.074074074,0.09241590629407602,0.074074074,0.074074074,0.074074074,-0.018341832294076016,0.052380612715621534
103,4.0,10.0,0.026936027,0.1030171211873654,0.026936027,0.026936027,0.026936027,-0.0760810941873654,0.019062635194890674
104,4.0,11.0,0.023569024,0.0968248663785372,0.023569024,0.023569024,0.023569024,-0.07325584237853719,0.016680279640770877
105,4.0,12.0,0.077441077,0.09487927802150653,0.077441077,0.077441077,0.077441077,-0.017438201021506533,0.054756890784097956
106,4.0,13.0,0.023569024,0.09849417666939249,0.023569024,0.023569024,0.023569024,-0.07492515266939248,0.016680279640770877
107,4.0,14.0,0.067340067,0.09096767962719113,0.067340067,0.067340067,0.067340067,-0.023627612627191125,0.04762630266602763
108,4.0,15.0,0.050505051,0.09215513518186036,0.050505051,0.050505051,0.050505051,-0.04165008418186036,0.03573155327060445
109,4.0,16.0,0.265993266,0.10478118518077814,0.265993266,0.265993266,0.265993266,0.16121208081922186,0.18607310116409462
110,4.0,17.0,0.235690236,0.11735196266497824,0.235690236,0.235690236,0.235690236,0.11833827333502175,0.16528787434600214
111,4.0,18.0,0.252525253,0.1275044447819786,0.252525253,0.252525253,0.252525253,0.12502080821802142,0.17685460186481333
112,4.0,19.0,0.138047138,0.1328491588175223,0.138047138,0.138047138,0.138047138,0.005197979182477719,0.09739809107945613
113,4.0,20.0,0.205387205,0.1367064373697395,0.205387205,0.205387205,0.205387205,0.06868076763026049,0.14435477367401459
114,4.0,21.0,0.175084175,0.14835827220317926,0.175084175,0.175084175,0.175084175,0.026725902796820744,0.12329166790341714
115,4.0,22.0,0.178451178,0.1454768086732617,0.178451178,0.178451178,0.178451178,0.03297436932673828,0.12563786654770515
116,4.0,23.0,0.181818182,0.13135755863400625,0.181818182,0.181818182,0.181818182,0.050460623365993745,0.12798266136145647
117,5.0,0.0,0.117845118,0.10619359676402468,0.117845118,0.117845118,0.117845118,0.01165152123597532,0.0832162417177677
118,5.0,1.0,0.067340067,0.09285074620178899,0.067340067,0.067340067,0.067340067,-0.025510679201788983,0.04762630266602763
119,5.0,2.0,0.067340067,0.0827093491939168,0.067340067,0.067340067,0.067340067,-0.015369282193916797,0.04762630266602763
120,5.0,3.0,0.067340067,0.07662623771204254,0.067340067,0.067340067,0.067340067,-0.009286170712042532,0.04762630266602763
121,5.0,4.0,0.067340067,0.07476698165570304,0.067340067,0.067340067,0.067340067,-0.00742691465570304,0.04762630266602763
122,5.0,5.0,0.057239057,0.07380851938295513,0.057239057,0.057239057,0.057239057,-0.016569462382955126,0.04049085708467426
123,5.0,6.0,0.178451178,0.0859631513819797,0.178451178,0.178451178,0.178451178,0.09248802661802029,0.12563786654770515
124,5.0,7.0,0.377104377,0.09297552534077039,0.377104377,0.377104377,0.377104377,0.28412885165922963,0.2607465275421012
125,5.0,8.0,0.363636364,0.09947286673890592,0.363636364,0.363636364,0.363636364,0.26416349726109406,0.251840289190449
126,5.0,9.0,0.037037037,0.10654957392056538,0.037037037,0.037037037,0.037037037,-0.06951253692056539,0.026208295818458866
127,5.0,10.0,0.03030303,0.12269784478982329,0.03030303,0.03030303,0.03030303,-0.09239481478982328,0.02144477430554713
128,5.0,11.0,0.026936027,0.11872406862588247,0.026936027,0.026936027,0.026936027,-0.09178804162588247,0.019062635194890674
129,5.0,12.0,0.03030303,0.11545237373734818,0.03030303,0.03030303,0.03030303,-0.08514934373734817,0.02144477430554713
130,5.0,13.0,0.03030303,0.1170049658120022,0.03030303,0.03030303,0.03030303,-0.0867019358120022,0.02144477430554713
131,5.0,14.0,0.080808081,0.10794858584835722,0.080808081,0.080808081,0.080808081,-0.027140504848357214,0.05713254946900349
132,5.0,15.0,0.03030303,0.10723433796165417,0.03030303,0.03030303,0.03030303,-0.07693130796165418,0.02144477430554713
133,5.0,16.0,0.31986532,0.12258458219174262,0.31986532,0.31986532,0.31986532,0.1972807378082574,0.222605910353091
134,5.0,17.0,0.245791246,0.1412080467585631,0.245791246,0.245791246,0.245791246,0.10458319924143689,0.17223358149666068
135,5.0,18.0,0.336700337,0.13882974407444898,0.336700337,0.336700337,0.336700337,0.19787059292555104,0.2339005496172616
136,5.0,19.0,0.164983165,0.14286253142788144,0.164983165,0.164983165,0.164983165,0.022120633572118548,0.1162448985236505
137,5.0,20.0,0.235690236,0.14930666662191786,0.235690236,0.235690236,0.235690236,0.08638356937808214,0.16528787434600214
138,5.0,21.0,0.185185185,0.16074851334214546,0.185185185,0.185185185,0.185185185,0.024436671657854542,0.13032602560349588
139,5.0,22.0,0.168350168,0.1474016377698571,0.168350168,0.168350168,0.168350168,0.020948530230142898,0.11859515804070177
140,5.0,23.0,0.121212121,0.13576317316593062,0.121212121,0.121212121,0.121212121,-0.014551052165930611,0.08558238286876474
141,6.0,0.0,0.094276094,0.12035560195634844,0.094276094,0.094276094,0.094276094,-0.026079507956348433,0.06662844703763647
142,6.0,1.0,0.037037037,0.10176964552847695,0.037037037,0.037037037,0.037037037,-0.06473260852847695,0.026208295818458866
143,6.0,2.0,0.04040404,0.0863850065373474,0.04040404,0.04040404,0.04040404,-0.0459809665373474,0.028589623499525655
144,6.0,3.0,0.037037037,0.07645423696401153,0.037037037,0.037037037,0.037037037,-0.03941719996401153,0.026208295818458866
145,6.0,4.0,0.037037037,0.07233280786672805,0.037037037,0.037037037,0.037037037,-0.03529577086672805,0.026208295818458866
146,6.0,5.0,0.043771044,0.07182380445844948,0.043771044,0.043771044,0.043771044,-0.028052760458449476,0.03097062741908357
147,6.0,6.0,0.033670034,0.07704104173085619,0.033670034,0.033670034,0.033670034,-0.043371007730856184,0.023826670656033246
148,6.0,7.0,0.033670034,0.09293675154165336,0.033670034,0.033670034,0.033670034,-0.05926671754165336,0.023826670656033246
149,6.0,8.0,0.127946128,0.10137991592811378,0.127946128,0.127946128,0.127946128,0.02656621207188621,0.09031174472255343
150,6.0,9.0,0.124579125,0.10025400088813803,0.124579125,0.124579125,0.124579125,0.024325124111861968,0.08794755975799842
151,6.0,10.0,0.178451178,0.12565625736001285,0.178451178,0.178451178,0.178451178,0.05279492063998714,0.12563786654770515
152,6.0,11.0,0.03030303,0.11789503669746977,0.03030303,0.03030303,0.03030303,-0.08759200669746978,0.02144477430554713
153,6.0,12.0,0.047138047,0.1223956169070859,0.047138047,0.047138047,0.047138047,-0.0752575699070859,0.033351279190276306
154,6.0,13.0,0.04040404,0.12128713054307406,0.04040404,0.04040404,0.04040404,-0.08088309054307406,0.028589623499525655
155,6.0,14.0,0.04040404,0.1136453610118488,0.04040404,0.04040404,0.04040404,-0.0732413210118488,0.028589623499525655
156,6.0,15.0,0.090909091,0.11458022221284786,0.090909091,0.090909091,0.090909091,-0.023671131212847862,0.06425553642055293
157,6.0,16.0,0.067340067,0.12469041668344874,0.067340067,0.067340067,0.067340067,-0.05735034968344874,0.04762630266602763
158,6.0,17.0,0.144781145,0.14470717362817712,0.144781145,0.144781145,0.144781145,7.397137182288405e-05,0.1021168867652128
159,6.0,18.0,0.535353535,0.1527208882894034,0.535353535,0.535353535,0.535353535,0.38263264671059666,0.3617655096862557
160,6.0,19.0,0.094276094,0.15980397742503633,0.094276094,0.094276094,0.094276094,-0.06552788342503632,0.06662844703763647
161,6.0,20.0,0.151515152,0.17415381359028942,0.151515152,0.151515152,0.151515152,-0.022638661590289433,0.10683109131982979
162,6.0,21.0,0.175084175,0.18129974969934085,0.175084175,0.175084175,0.175084175,-0.006215574699340837,0.12329166790341714
163,6.0,22.0,0.151515152,0.16205651655104328,0.151515152,0.151515152,0.151515152,-0.010541364551043292,0.10683109131982979
164,6.0,23.0,0.387205387,0.14463857241043118,0.387205387,0.387205387,0.387205387,0.24256681458956883,0.26739729458775446
